"Id","DiningCommonId","MealId","From","To","DayOfWeek"
"12","1","3","11:00:00","14:30:00","1"
"13","1","3","11:00:00","14:30:00","2"
"14","1","3","11:00:00","14:30:00","3"
"15","1","3","11:00:00","14:30:00","4"
"16","1","3","11:00:00","14:30:00","5"
"17","1","4","17:00:00","20:00:00","1"
"18","1","4","17:00:00","20:00:00","2"
"19","1","4","17:00:00","20:00:00","3"
"20","1","4","17:00:00","20:00:00","4"
"21","1","4","17:00:00","20:00:00","5"
"22","1","4","17:00:00","20:00:00","6"
"23","1","4","17:00:00","20:00:00","0"
"24","1","2","10:30:00","14:00:00","6"
"25","1","2","10:30:00","14:00:00","0"
"26","1","5","21:00:00","00:30:00","1"
"27","1","5","21:00:00","00:30:00","2"
"28","1","5","21:00:00","00:30:00","3"
"29","1","5","21:00:00","00:30:00","4"
"30","2","1","07:15:00","10:45:00","1"
"31","2","1","07:15:00","10:45:00","2"
"32","2","1","07:15:00","10:45:00","3"
"33","2","1","07:15:00","10:45:00","4"
"34","2","1","07:15:00","10:45:00","5"
"35","2","3","11:45:00","14:30:00","1"
"36","2","3","11:45:00","14:30:00","2"
"37","2","3","11:45:00","14:30:00","3"
"38","2","3","11:45:00","14:30:00","4"
"39","2","3","11:45:00","14:30:00","5"
"40","2","4","17:00:00","20:00:00","1"
"41","2","4","17:00:00","20:00:00","2"
"42","2","4","17:00:00","20:00:00","3"
"43","2","4","17:00:00","20:00:00","4"
"44","2","4","17:00:00","20:00:00","5"
"45","2","6","07:30:00","11:30:00","1"
"46","2","6","07:30:00","11:30:00","2"
"47","2","6","07:30:00","11:30:00","3"
"48","2","6","07:30:00","11:30:00","4"
"49","2","6","07:30:00","11:30:00","5"
"50","3","1","07:15:00","10:00:00","1"
"51","3","1","07:15:00","10:00:00","2"
"52","3","1","07:15:00","10:00:00","3"
"53","3","1","07:15:00","10:00:00","4"
"54","3","1","07:15:00","10:00:00","5"
"55","3","3","11:00:00","14:30:00","1"
"56","3","3","11:00:00","14:30:00","2"
"57","3","3","11:00:00","14:30:00","3"
"58","3","3","11:00:00","14:30:00","4"
"59","3","3","11:00:00","14:30:00","5"
"60","3","4","17:00:00","20:00:00","1"
"61","3","4","17:00:00","20:00:00","2"
"62","3","4","17:00:00","20:00:00","3"
"63","3","4","17:00:00","20:00:00","4"
"64","3","4","17:00:00","20:00:00","5"
"65","3","4","17:00:00","20:00:00","6"
"66","3","4","17:00:00","20:00:00","0"
"67","3","2","10:30:00","14:00:00","6"
"68","3","2","10:30:00","14:00:00","0"
"69","4","1","07:00:00","10:30:00","1"
"70","4","1","07:00:00","10:30:00","2"
"71","4","1","07:00:00","10:30:00","3"
"72","4","1","07:00:00","10:30:00","4"
"73","4","1","07:00:00","10:30:00","5"
"74","4","3","12:00:00","14:30:00","1"
"75","4","3","12:00:00","14:30:00","2"
"76","4","3","12:00:00","14:30:00","3"
"77","4","3","12:00:00","14:30:00","4"
"78","4","3","12:00:00","14:30:00","5"
"79","4","4","17:00:00","20:00:00","1"
"80","4","4","17:00:00","20:00:00","2"
"81","4","4","17:00:00","20:00:00","3"
"82","4","4","17:00:00","20:00:00","4"
"83","4","4","17:00:00","20:00:00","5"
"84","4","4","17:00:00","20:00:00","6"
"85","4","4","17:00:00","20:00:00","0"
"86","4","2","10:30:00","14:00:00","6"
"87","4","2","10:30:00","14:00:00","0"
"88","4","6","07:30:00","11:30:00","1"
"89","4","6","07:30:00","11:30:00","2"
"90","4","6","07:30:00","11:30:00","3"
"91","4","6","07:30:00","11:30:00","4"
"92","4","6","07:30:00","11:30:00","5"
